ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"45.8.106.212","elite","AS209242","DE","Cloudflare London","2","Araxio Development N.V","80","socks4","5024","1","2022-09-29T15:29:06.203Z","100","75","75"
"86.57.134.64","elite","AS6697","BY","Republican Unitary Telecommunication Enterprise Beltelecom","70","Byfly Gomel","41890","socks4","4909","1","2022-09-29T15:29:06.202Z","100","96","96"
"190.109.72.229","elite","AS264231","BR","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","188","RG.COM - INFORMATICA & COMUNICACAO LTDA - ME","33633","socks4","4986","1","2022-09-29T15:29:02.422Z","100","54","54"
"217.150.58.185","elite","AS20485","RU","TRANS-TELECOM","75","N/A","1080","socks4","5050","1","2022-09-29T15:29:02.425Z","100","107","107"
"185.132.228.237","elite","AS210238","IT","Dieffeitalia.it S.r.l.","36","Dieffeitalia.it S.r.l","4145","socks4","1933","1","2022-09-29T15:29:02.426Z","100","82","82"
"154.120.194.164","elite","AS30844","ZA","LIQUID-SATHUB","786","N/A","5678","socks4","3582","1","2022-09-29T15:28:58.702Z","22","11","51"
"37.187.123.217","elite","AS16276","FR","OVH SAS","6","OVH SAS","80","http","4272","3743","2022-09-29T15:28:58.702Z","100","49","49"
"186.126.2.191","elite","AS7303","AR","Telecom Argentina S.A.","310","Telecom Personal Bs","1080","socks4","5095","1","2022-09-29T15:28:58.701Z","31","33","105"
"183.88.122.200","elite","AS45629","TH","Triple T Broadband Public Company Limited","168","Triple T Broadband Public Company Limited","8080","socks4","5133","1","2022-09-29T15:28:54.984Z","77","70","91"
"162.0.220.214","elite","AS22612","US","Namecheap, Inc.","135","Namecheap, Inc.","52889","socks4","4736","1","2022-09-29T15:28:51.263Z","98","65","66"
"103.47.93.25","elite","AS134058","IN","Broban Internet Services Pvt.ltd","155","Broban  PVT Ltd.","1080","socks4","4810","4","2022-09-29T15:28:51.266Z","100","66","66"
"105.234.156.3","elite","AS37440","MW","Airtel Malawi","219","N/A","4145","socks4","5099","1","2022-09-29T15:28:51.258Z","77","54","70"
